margen,tasa_revision,cobertura_automatica,captura_flags,precision_flags_revision,flags
0.01,0.023793849336969812,0.9762061506630302,0.10290237467018469,0.1541501976284585,379
0.019999999999999997,0.04551866829681181,0.9544813317031882,0.19261213720316622,0.15082644628099173,379
0.03,0.0673375340919778,0.9326624659080222,0.2612137203166227,0.138268156424581,379
0.039999999999999994,0.09150757077024359,0.9084924292297564,0.32717678100263853,0.12744090441932168,379
0.049999999999999996,0.11896924668484905,0.8810307533151509,0.41688654353562005,0.12490118577075099,379
0.05999999999999999,0.1500047023417662,0.8499952976582338,0.48284960422163586,0.11473354231974922,379
0.06999999999999999,0.18611868710617888,0.8138813128938212,0.5567282321899736,0.10661950480040425,379
0.07999999999999999,0.23220163641493463,0.7677983635850654,0.6068601583113457,0.09315512353179425,379
0.08999999999999998,0.28505595786701776,0.7149440421329822,0.6596306068601583,0.08248102936324646,379
0.09999999999999998,0.34411737045048435,0.6558826295495157,0.7176781002638523,0.0743372506149221,379
0.10999999999999997,0.4121132323897301,0.5878867676102699,0.8073878627968337,0.06983112733911456,379
0.11999999999999998,0.48753879431957114,0.5124612056804289,0.8496042216358839,0.062114197530864196,379
0.12999999999999998,0.5698297752280636,0.43017022477193645,0.8759894459102903,0.0547945205479452,379
0.13999999999999999,0.6576695194206715,0.34233048057932847,0.9076517150395779,0.04919204919204919,379
0.15,0.7385497977993041,0.2614502022006959,0.9445910290237467,0.04558767350057303,379
0.15999999999999998,0.8182074673187247,0.18179253268127527,0.9656992084432717,0.04206896551724138,379
0.16999999999999998,0.8831938305276027,0.1168061694723973,0.9894459102902374,0.03993184964327548,379
0.18,0.9336029342612621,0.06639706573873794,0.9920844327176781,0.037876498438601795,379
0.18999999999999997,0.9655788582714192,0.034421141728580795,0.9947229551451188,0.036719587026395245,379
0.19999999999999998,0.9855167873601053,0.014483212639894716,1.0,0.03616757324172154,379
0.20999999999999996,0.9948274240571805,0.005172575942819502,1.0,0.03582907922102477,379
0.21999999999999997,0.9982131101288442,0.0017868898711558279,1.0,0.035707556058036556,379
0.22999999999999998,0.99952976582338,0.0004702341766199547,1.0,0.03566051938276251,379
0.23999999999999996,0.999905953164676,9.404683532399094e-05,1.0,0.03564710308502633,379
0.24999999999999997,0.999905953164676,9.404683532399094e-05,1.0,0.03564710308502633,379
0.25999999999999995,0.999905953164676,9.404683532399094e-05,1.0,0.03564710308502633,379
0.26999999999999996,1.0,0.0,1.0,0.03564375058779272,379
0.27999999999999997,1.0,0.0,1.0,0.03564375058779272,379
0.29,1.0,0.0,1.0,0.03564375058779272,379
0.3,1.0,0.0,1.0,0.03564375058779272,379
