model,model_label,features,feature_seconds,fit_seconds,training_seconds,val_exact_match,val_jaccard_samples,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,val_pr_auc_macro,val_damage_precision_micro,val_damage_recall_micro,val_damage_f1_micro,val_damage_f1_macro,val_damage_pr_auc_macro,val_n,val_inference_seconds,val_milliseconds_per_1000
linear_svm_word_char,SVM lineal palabra+carácter,50000,21.635868699995626,35.68181539999932,57.31768409999495,0.9176149722561836,0.9206166337502745,0.9153867634738899,0.9139405204460966,0.9146630702692647,0.36224502392621033,0.3161844441368788,0.23186528497409326,0.27666151468315303,0.2522903453136011,0.2424016566740097,0.18153892515469944,10633,4.254338999999163,400.10711934535533
logistic_regression,Regresión logística,50000,6.856497199994919,2.468391199996404,9.324888399991323,0.9155459418790558,0.9186729991535785,0.9059963099630997,0.9127323420074349,0.9093518518518519,0.34811429984403097,0.2935213968061772,0.21840354767184036,0.3044822256568779,0.2543576500968367,0.22574673539510237,0.15399282023922217,10633,0.9332786000013584,87.77189880573296
hist_gradient_boosting_svd,Gradient boosting + SVD,96,8.643257700001413,1.8473454999984824,10.490603199999896,0.804100442020126,0.8087635976049407,0.7584519961561982,0.8068773234200743,0.7819156121943531,0.23895069910227287,0.2099170236288254,0.0713224368499257,0.29675425038639874,0.11500449236298294,0.10675355887184765,0.05502177602548826,10633,0.9532328999994206,89.64853757165622
complement_nb,Complement NB,49309,2.6783833999943454,0.07917060000181664,2.757553999996162,0.901909150757077,0.9037195523370638,0.8372678354452352,0.8965613382899629,0.8659007270442509,0.21541913669726612,0.1941906793281357,0.059322033898305086,0.14064914992272023,0.083447959651536,0.06834327048913463,0.035703157413861604,10633,0.5906703000000562,55.55067243487785
dummy_prior,Dummy (prior),1,0.0010200999968219548,0.00420999999914784,0.005230099995969795,0.9510956456315245,0.9510956456315245,0.9510956456315245,0.9398698884758364,0.9454494460804936,0.16248915453581414,0.16865732468102448,0.0,0.0,0.0,0.0,0.01216966049092448,10633,0.0011172999948030338,0.10507852861873732
