categoria,umbral,precision_validacion,recall_validacion,f1_validacion,objetivo_recall,objetivo_alcanzado
RACISMO_DISCRIMINACION,0.26,0.05466666666666667,0.803921568627451,0.10237203495630462,0.8,True
ACOSO_GENERO_IDENTIDAD,0.25,0.05229283990345937,0.8074534161490683,0.09822440498677748,0.8,True
ACOSO_PERSONAL,0.21000000000000002,0.031541218637992835,0.825,0.060759493670886074,0.8,True
AMENAZA_DIRECTA,0.19,0.0034494653328734047,0.8333333333333334,0.006870491240123669,0.8,True
CONTENIDO_SEXUAL,0.26,0.06272680145152928,0.8120805369127517,0.11645813282001925,0.8,True
