margen,tasa_revision,captura_dano_real,captura_flags,precision_revision_dano
0.01,0.8233751092975808,0.9858299595141701,0.9847560975609756,0.05746312684365782
0.02,0.8783639366559798,0.9919028340080972,0.9908536585365854,0.05419754451941157
0.03,0.9235402700864666,0.9979757085020243,1.0,0.05186198190616453
0.04,0.9578354221315457,1.0,1.0,0.05010650167359773
0.05,0.9810550859807636,1.0,1.0,0.04892057833234304
0.060000000000000005,0.9917419605557175,1.0,1.0,0.04839341692789969
0.06999999999999999,0.9974740114641019,1.0,1.0,0.0481153209311386
0.08,0.9991256193529583,1.0,1.0,0.048035783741734735
0.09,0.9998056931895463,1.0,1.0,0.048003109513166844
0.09999999999999999,1.0,1.0,1.0,0.04799378218206548
0.11,1.0,1.0,1.0,0.04799378218206548
0.12,1.0,1.0,1.0,0.04799378218206548
0.13,1.0,1.0,1.0,0.04799378218206548
0.14,1.0,1.0,1.0,0.04799378218206548
0.15000000000000002,1.0,1.0,1.0,0.04799378218206548
0.16,1.0,1.0,1.0,0.04799378218206548
0.17,1.0,1.0,1.0,0.04799378218206548
0.18000000000000002,1.0,1.0,1.0,0.04799378218206548
0.19,1.0,1.0,1.0,0.04799378218206548
0.2,1.0,1.0,1.0,0.04799378218206548
