selection_order,video_id,url,title,channel_title,channel_id,duration,discovery_type,discovery_source,source_rank,target_category,selection_reason,quota,round_robin,batch_id,selected_at,reason
87,tfseAqnP6y0,https://www.youtube.com/watch?v=tfseAqnP6y0,Fiscal explica caso de agresión a mujer en el Rímac,Ministerio Público | República del Perú,UC91qATrOkn7FLB4AfCboKhg,100.0,targeted_search,agresión amenazas mujer Perú,10,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,10,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,sin subtítulo español utilizable
97,Pd7K0Qluue0,https://www.youtube.com/watch?v=Pd7K0Qluue0,¡Exclusivo! Alias “Drac”: sicarios recibían atención médica luego de sus masacres,Panorama,UCBiq92lt_ufNO-ktZigVXgg,750.0,targeted_search,sicario amenaza empresario Perú,10,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,10,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,DownloadError: ERROR: [youtube] Pd7K0Qluue0: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
139,E_TEmc-4fZU,https://www.youtube.com/watch?v=E_TEmc-4fZU,Extorsionador muere al explotar bomba que iba a poner afuera de un negocio - N+,NMás,UCUsm-fannqOY02PNN67C0KA,68.0,targeted_search,extorsionador amenaza audio WhatsApp Perú,14,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,14,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,DownloadError: ERROR: [youtube] E_TEmc-4fZU: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
168,6P4cQRe3M5Y,https://www.youtube.com/watch?v=6P4cQRe3M5Y,Los extorsionadores y las redes sociales,Ministerio Público | República del Perú,UC91qATrOkn7FLB4AfCboKhg,216.0,targeted_search,amenaza redes sociales denuncia Perú,17,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,17,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,sin subtítulo español utilizable
173,zLA4QO2iFLk,https://www.youtube.com/watch?v=zLA4QO2iFLk,Extorsionadores asesinan a emprendedores: fusión criminal peruano-venezolana domina SJL,Panorama,UCBiq92lt_ufNO-ktZigVXgg,784.0,targeted_search,sicario amenaza empresario Perú,17,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,17,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,DownloadError: ERROR: [youtube] zLA4QO2iFLk: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
215,31uTqWmWwX4,https://www.youtube.com/watch?v=31uTqWmWwX4,Esposa de taxista asesinado en SJL descarta acusación de abuso y asegura que recibían amenazas,Buenos Días Perú,UCFnOwPrJ-Skrzk_GPNBV5tg,233.0,targeted_search,agresión amenazas mujer Perú,21,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,21,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,DownloadError: ERROR: [youtube] 31uTqWmWwX4: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
223,w8COPOH15HE,https://www.youtube.com/watch?v=w8COPOH15HE,Cartman se ríe de enano,Geovanni Murcia,UC_12ZoiKqb6zfWunCdRRfjw,84.0,targeted_search,te voy a matar audio denuncia Perú,21,AMENAZA_DIRECTA,consulta explícita de una categoría minoritaria,100,21,ampliacion_amenaza_20260727_lote3,2026-07-27T08:51:03-05:00,sin subtítulo español utilizable
