id,model,text_column,C,flash_weight,model_label,features,feature_seconds,fit_seconds,training_seconds,flash_pseudo_weight,model_parameters,val_exact_match,val_jaccard_samples,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,val_pr_auc_macro,val_damage_precision_micro,val_damage_recall_micro,val_damage_f1_micro,val_damage_f1_macro,val_damage_pr_auc_macro,val_n,val_inference_seconds,val_milliseconds_per_1000
svm_text_c1_w50_baseline,linear_svm_word_char,text,1.0,0.5,SVM lineal palabra+carácter,50000,22.68435750000208,42.443266800000856,65.12762430000294,0.5,{'C': 1.0},0.9176149722561836,0.9206166337502745,0.9153867634738899,0.9139405204460966,0.9146630702692647,0.36224502392621033,0.3161844441368788,0.23186528497409326,0.27666151468315303,0.2522903453136011,0.2424016566740097,0.18153892515469944,10633,4.411409199994523,414.8790745786253
logreg_context_c1_w50,logistic_regression,context_text,1.0,0.5,Regresión logística,50000,15.476712499999849,5.995025800002622,21.47173830000247,0.5,{'C': 1.0},0.9089626634063763,0.9116586726856643,0.9004993526909562,0.9050185873605948,0.9027533141744692,0.3545824283859389,0.29282578668671294,0.20416666666666666,0.3029366306027821,0.24393279402613566,0.2343435076425327,0.15327340859080477,10633,2.6825304000012693,252.28349478052004
logreg_context_c1_w25,logistic_regression,context_text,1.0,0.25,Regresión logística,50000,15.437664099998074,6.4306890000007115,21.868353099998785,0.25,{'C': 1.0},0.9005924950625411,0.9038292736449419,0.8911740293276769,0.8980483271375465,0.8945979725038189,0.34928302367424635,0.29082632458843155,0.1942186088527552,0.3323029366306028,0.2451539338654504,0.2287421272755373,0.15090977587424786,10633,2.6434733000060078,248.610298129033
svm_context_c03_w25,linear_svm_word_char,context_text,0.3,0.25,SVM lineal palabra+carácter,50000,59.53926940000383,60.733652700000675,120.27292210000451,0.25,{'C': 0.3},0.9059531646760086,0.9085159409385875,0.9016164994425864,0.9019516728624535,0.9017840550083628,0.34588994152256464,0.28989065695920374,0.18867924528301888,0.26275115919629055,0.21963824289405684,0.2241388148891521,0.1500356486492509,10633,13.009123200004979,1223.4668673003837
svm_context_c03_w50,linear_svm_word_char,context_text,0.3,0.5,SVM lineal palabra+carácter,50000,60.02548380000371,56.566039600002114,116.59152340000583,0.5,{'C': 0.3},0.8967365748142575,0.8997068873632401,0.8893203883495145,0.8938661710037175,0.8915874855156432,0.3435854305731685,0.2887615553398609,0.17847286108555657,0.29984544049459044,0.223760092272203,0.2223120928180375,0.1487109532102036,10633,12.482322200005001,1173.9229004048716
svm_context_c1_w25,linear_svm_word_char,context_text,1.0,0.25,SVM lineal palabra+carácter,50000,58.95919400000275,58.00652070000069,116.96571470000345,0.25,{'C': 1.0},0.9004984482272171,0.9029279914730868,0.8980067064083458,0.8960037174721189,0.8970040937848902,0.32810846061686894,0.27781495362180414,0.1721132897603486,0.24420401854714066,0.20191693290734825,0.2034135604970035,0.1358710258829261,10633,12.531032399994729,1178.5039405619043
logreg_context_c03_w25,logistic_regression,context_text,0.3,0.25,Regresión logística,50000,15.720297599997139,5.565669000003254,21.285966600000393,0.25,{'C': 0.3},0.9101852722655882,0.9125286059124111,0.8994459833795014,0.9052973977695167,0.9023622047244094,0.3436562007305075,0.2779812851790195,0.1949685534591195,0.2874806800618238,0.23235477826358525,0.2211822780370473,0.1356252304343191,10633,2.6648944999978994,250.6248941971127
svm_context_c1_w50,linear_svm_word_char,context_text,1.0,0.5,SVM lineal palabra+carácter,50000,57.641602200004854,58.16335740000068,115.80495960000553,0.5,{'C': 1.0},0.9194018621273394,0.9210163328004014,0.9182795698924732,0.9127323420074349,0.9154975530179446,0.32728805050151677,0.2765770441535237,0.20285261489698891,0.19783616692426584,0.20031298904538342,0.2005862711980435,0.13444597870433453,10633,13.142665100000158,1236.0260603780832
