"clave","titulo","tipo","doi","url","pdf_local","estado"
"mckinney2010pandas","Data Structures for Statistical Computing in Python","inproceedings","10.25080/Majora-92bf1922-00a","https://doi.org/10.25080/Majora-92bf1922-00a","referencias_y_descargas/mckinney2010pandas__mckinney_2010_pandas.pdf","pdf_oa_validado"
"monge2023violencia","Violencia de género en Twitter: feminización como forma de insulto en la conversación digital","article","10.35622/j.ro.2023.02.001","https://revistas.inudi.edu.pe/ro/es/article/view/425","referencias_y_descargas/monge2023violencia__monge-olivarria_2023_violencia-genero-twitter.pdf","pdf_oa_validado"
"moreno2012datasetshift","A Unifying View on Dataset Shift in Classification","article","10.1016/j.patcog.2011.06.019","https://doi.org/10.1016/j.patcog.2011.06.019","referencias_y_descargas/moreno2012datasetshift__moreno-torres_2012_dataset-shift.pdf","pdf_oa_validado"
"mozannar2020defer","Consistent Estimators for Learning to Defer to an Expert","inproceedings","","https://proceedings.mlr.press/v119/mozannar20b.html","referencias_y_descargas/mozannar2020defer__mozannar_2020_learning-to-defer.pdf","pdf_oa_validado"
"niculescu2005probabilities","Predicting Good Probabilities with Supervised Learning","inproceedings","10.1145/1102351.1102430","https://doi.org/10.1145/1102351.1102430","referencias_y_descargas/niculescu2005probabilities__niculescu-mizil_2005_predicting-probabilities.pdf","pdf_oa_validado"
"nist2015sha","Secure Hash Standard (SHS)","techreport","10.6028/NIST.FIPS.180-4","https://csrc.nist.gov/pubs/fips/180-4/upd1/final","referencias_y_descargas/nist2015sha__nist_2015_sha-standard.pdf","pdf_oa_validado"
"paszke2019pytorch","PyTorch: An Imperative Style, High-Performance Deep Learning Library","inproceedings","","https://proceedings.neurips.cc/paper/2019/hash/bdbca288fee7f92f2bfa9f7012727740-Abstract.html","referencias_y_descargas/paszke2019pytorch__paszke_2019_pytorch.pdf","pdf_oa_validado"
"pedregosa2011sklearn","Scikit-Learn: Machine Learning in Python","article","","https://www.jmlr.org/papers/v12/pedregosa11a.html","referencias_y_descargas/pedregosa2011sklearn__pedregosa_2011_scikit-learn.pdf","pdf_oa_validado"
"peffers2007dsrm","A Design Science Research Methodology for Information Systems Research","article","10.2753/MIS0742-1222240302","https://doi.org/10.2753/MIS0742-1222240302","","fuente_editorial_sin_pdf_oa_localizado"
"platt1999probabilistic","Probabilistic Outputs for Support Vector Machines and Comparisons to Regularized Likelihood Methods","incollection","","https://www.microsoft.com/en-us/research/project/support-vector-machines/","","fuente_editorial_sin_pdf_oa_localizado"
"plaza2021offendes","OffendES: A New Corpus in Spanish for Offensive Language Research","inproceedings","10.26615/978-954-452-072-4_123","https://aclanthology.org/2021.ranlp-1.123/","referencias_y_descargas/plaza2021offendes__plaza-del-arco_2021_offendes.pdf","pdf_oa_validado"
"portocarrero2009racismo","Racismo y mestizaje y otros ensayos","book","","","","fuente_impresa_sin_pdf_oa_localizado"
"prechelt1998earlystopping","Early Stopping---But When?","incollection","10.1007/3-540-49430-8_3","https://publikationen.bibliothek.kit.edu/7498","referencias_y_descargas/prechelt1998earlystopping__prechelt_1998_early-stopping.pdf","pdf_oa_validado"
