experiment_id,model,model_label,train_rows,best_parameters,mean_cv_damage_pr_auc_macro,std_cv_damage_pr_auc_macro,features,feature_seconds,fit_seconds,training_seconds,text_column,flash_pseudo_weight,model_parameters,validation_exact_match,validation_jaccard_samples,validation_precision_micro,validation_recall_micro,validation_f1_micro,validation_f1_macro,validation_pr_auc_macro,validation_damage_precision_micro,validation_damage_recall_micro,validation_damage_f1_micro,validation_damage_f1_macro,validation_damage_pr_auc_macro,validation_n,sample_weights_supported,configuration_origin,fasttext_cli,fasttext_cli_sha256,test_exact_match,test_jaccard_samples,test_precision_micro,test_recall_micro,test_f1_micro,test_f1_macro,test_pr_auc_macro,test_damage_precision_micro,test_damage_recall_micro,test_damage_f1_micro,test_damage_f1_macro,test_damage_pr_auc_macro,test_n
tuned__linear_svm_word_char,linear_svm_word_char,SVM lineal palabra+carácter,24701,"{'C': 0.25, 'min_df': 1, 'max_features': 50000}",0.4073518864470287,0.010791545161633945,50000,15.551797299995087,13.990539999998873,29.54233729999396,text,0.5,"{'C': 0.25, 'min_df': 1}",0.765214124718257,0.7885205359378913,0.7770979020979021,0.7764192139737991,0.7767584097859327,0.5547208901098607,0.5432607110896528,0.45843520782396086,0.5070993914807302,0.48154093097913325,0.48823409574287735,0.4611980358659765,5324,,,,,0.76351606805293,0.7852709514807813,0.7762175613224316,0.7730571782616392,0.7746341463414634,0.5241060579190534,0.5068787330152728,0.43721828718609146,0.485,0.45987131730443614,0.45166218899337124,0.4173548393015466,5290
tuned__logistic_regression,logistic_regression,Regresión logística,24701,"{'C': 2.0, 'min_df': 2, 'max_features': 50000}",0.38175690775616156,0.015593063707358095,50000,5.172440100024687,1.7853583000251092,6.957798400049796,text,0.5,"{'C': 2.0, 'min_df': 2}",0.7439894815927873,0.7720385674931128,0.7533987265530889,0.7647161572052402,0.7590152565880721,0.5378841563976647,0.5160684980921872,0.4156492785793563,0.506423258958756,0.4565681194757696,0.469616045218082,0.4291774170018515,5324,,,,,0.7540642722117202,0.778276622558286,0.7605954465849387,0.7688086386971146,0.7646799894356897,0.4941034498442199,0.49151354431083866,0.4034334763948498,0.47,0.4341801385681293,0.4159308641166183,0.39942417468004643,5290
tuned__fasttext_supervised_ova,fasttext_supervised_ova,fastText supervisado OVA (sesión 4),24701,"{'lr': 0.5, 'epoch': 15, 'wordNgrams': 2, 'bucket': 200000, 'dim': 50, 'loss': 'ova'}",0.2901533136410182,0.01290066732744774,50,0.0,4.192098200001055,4.192098200001055,text,,"{'lr': 0.5, 'epoch': 15, 'wordNgrams': 2, 'bucket': 200000, 'dim': 50, 'loss': 'ova'}",0.7605184072126221,0.7813016528925619,0.7599651871192341,0.7626200873362445,0.7612903225806451,0.46546156156081125,0.43963974767796615,0.3962825278810409,0.3603786342123056,0.37747875354107646,0.3812233163897443,0.34190959975279933,5324,False,PLN_clases sesión 4 + receta multietiqueta OVA oficial de fastText,modelos\moderador_transformer_grueso\tools\fasttext.exe,9912060209b379032966f72f3a984a9c3edd0b41dd0ce782a19a30d4514efda5,0.76351606805293,0.7828292375551356,0.7675079985780305,0.7643830766507347,0.7659423503325943,0.43490634251407895,0.4249571536947023,0.39209225700164746,0.34,0.3641928079571538,0.34444851622414563,0.32396449623723,5290
