experiment_id,model,model_label,train_rows,features,feature_seconds,fit_seconds,training_seconds,text_column,flash_pseudo_weight,model_parameters,configuration_origin,validation_exact_match,validation_jaccard_samples,validation_precision_micro,validation_recall_micro,validation_f1_micro,validation_f1_macro,validation_pr_auc_macro,validation_damage_precision_micro,validation_damage_recall_micro,validation_damage_f1_micro,validation_damage_f1_macro,validation_damage_pr_auc_macro,validation_n,validation_inference_seconds,validation_milliseconds_per_1000,sample_weights_supported,fasttext_cli,fasttext_cli_sha256,test_exact_match,test_jaccard_samples,test_precision_micro,test_recall_micro,test_f1_micro,test_f1_macro,test_pr_auc_macro,test_damage_precision_micro,test_damage_recall_micro,test_damage_f1_micro,test_damage_f1_macro,test_damage_pr_auc_macro,test_n,test_inference_seconds,test_milliseconds_per_1000
linear_svm_word_char,linear_svm_word_char,SVM lineal palabra+carácter,24701,50000,16.08452530001523,22.544617899984587,38.62914319999982,text,0.5,{'C': 1.0},Hiperparámetros fijados antes de esta ejecución,0.732344102178813,0.759751440020035,0.7442261289210617,0.754235807860262,0.7491975362193112,0.5376336775782978,0.5257513405976043,0.4060860440713536,0.5233265720081136,0.4573116691285081,0.4710508577021618,0.4413504298221561,5324,2.950250900001265,554.1417918860377,,,,0.7319470699432892,0.7556080655324512,0.7420886075949367,0.7472118959107806,0.7446414395342683,0.4985531740044129,0.4933054178871112,0.38151927437641725,0.4807142857142857,0.4254108723135272,0.4246188803824397,0.4021535787872953,5290,2.9046607999771368,549.0852173869823
logistic_regression,logistic_regression,Regresión logística,24701,50000,5.284745100012515,1.6848625999991782,6.969607700011693,text,0.5,{'C': 1.0},Hiperparámetros fijados antes de esta ejecución,0.7402329075882795,0.7682632106185825,0.7459856508370345,0.7627947598253275,0.754296571379221,0.5318655022637133,0.507687827895043,0.4042207792207792,0.5050709939148073,0.44905320108205593,0.4627659900165044,0.41952016500090245,5324,0.608152800006792,114.22854996370998,,,,0.7502835538752363,0.7749842470069312,0.7529534398888117,0.7672154363604178,0.7600175361683472,0.497385005501344,0.48363878722840986,0.3943826799297835,0.48142857142857143,0.433579929237697,0.42039141836631877,0.39022487783274684,5290,0.6277394999924581,118.66531190783708
fasttext_supervised_ova,fasttext_supervised_ova,fastText supervisado OVA (sesión 4),24701,50,0.0,4.888183700008085,4.888183700008085,text,,"{'lr': 0.5, 'epoch': 25, 'wordNgrams': 2, 'bucket': 200000, 'dim': 50, 'loss': 'ova'}",PLN_clases sesión 4 + receta multietiqueta OVA oficial de fastText,0.7699098422238918,0.7876408715251689,0.7708039492242595,0.7636681222707423,0.7672194437132579,0.4556258030323302,0.4346773230734664,0.4111204717775906,0.3299526707234618,0.36609152288072017,0.36881029246710917,0.33686297949349064,5324,0.22496019999380223,42.25398196728066,False,modelos\moderador_transformer_grueso\tools\fasttext.exe,9912060209b379032966f72f3a984a9c3edd0b41dd0ce782a19a30d4514efda5,0.7742911153119093,0.7911625708884689,0.7814808142676996,0.7679235262878386,0.7746428571428572,0.4344770683358243,0.4228292852850508,0.42065727699530514,0.32,0.3634888438133874,0.34323853809915394,0.32212511139842975,5290,0.24018309998791665,45.403232511893506
complement_nb,complement_nb,Complement NB,24701,33353,1.8073493000119925,0.060933000000659376,1.8682823000126518,text,0.5,{'alpha': 0.5},Hiperparámetros fijados antes de esta ejecución,0.6778737791134485,0.7012271475081392,0.6216386224249095,0.6904803493449782,0.6542535584243628,0.3493531815182776,0.3233607941094335,0.21994009413778348,0.3475321162947938,0.2693920335429769,0.2528474269172404,0.20187300829750163,5324,0.3946273000037763,74.1223328331661,,,,0.6724007561436673,0.694952741020794,0.6097062980995759,0.6872012745618693,0.6461384820239681,0.33047669118922357,0.31574056054347027,0.19707724425887266,0.33714285714285713,0.24874835309617918,0.23065547426346283,0.1915993932201628,5290,0.382837200013455,72.3699810989518
hist_gradient_boosting_svd,hist_gradient_boosting_svd,Gradient boosting + SVD,24701,96,6.624393400008557,2.290817800007062,8.91521120001562,text,0.5,{},Hiperparámetros fijados antes de esta ejecución,0.6421863260706235,0.6669703230653643,0.6220472440944882,0.6623580786026201,0.6415700871330683,0.36719245689915003,0.31705345359681675,0.22494802494802496,0.36578769438810005,0.2785787847579815,0.2767907063739782,0.19560673740367737,5324,0.6569285999867134,123.39004507639245,,,,0.6563327032136106,0.6809735349716447,0.6318309394089483,0.6774650380598336,0.6538527250982402,0.3566281902033768,0.3237287248411378,0.22066549912434325,0.36,0.2736156351791531,0.26225948768060175,0.20234519781499444,5290,0.6567416999896523,124.14776937422538
dummy_prior,dummy_prior,Dummy (prior),24701,1,0.001291199994739145,0.006123300001490861,0.007414499996230006,text,0.5,{},Hiperparámetros fijados antes de esta ejecución,0.00018782870022539445,0.06409654395191586,0.06494177310293013,0.24157205240174673,0.1023648273565005,0.08111558849495086,0.1792198847983972,0.06494177310293013,0.9350912778904665,0.1214489571899012,0.09733870619394103,0.055559729526671674,5324,0.0026559999969322234,0.49887302722243115,,,,0.0005671077504725897,0.05991493383742911,0.06091682419659735,0.22818197911134713,0.09616173673020255,0.07635308962878432,0.1779773156899811,0.06091682419659735,0.9207142857142857,0.11427304964539008,0.09162370755454118,0.05293005671077504,5290,0.0009679999784566462,0.18298676341335468
