,precision,recall,f1-score,support
ironia_ambigua,0.125,0.03125,0.05,32.0
humor_encubridor,0.3761467889908257,0.3374485596707819,0.3557483731019523,243.0
contexto_necesario,0.10989010989010989,0.12987012987012986,0.11904761904761904,77.0
micro avg,0.29337539432176657,0.26420454545454547,0.27802690582959644,352.0
macro avg,0.2036789662936452,0.16618956318030392,0.17493199738319043,352.0
weighted avg,0.2950716141656509,0.26420454545454547,0.27617477650693484,352.0
samples avg,0.008038914490527394,0.009062980030721967,0.008294930875576038,352.0
