candidate_key,flat_reference_key,metrica,plano_test,experimento_test,delta_experimento_menos_plano,ic95_inferior,ic95_superior,replicas_validas
svm__cascade,svm__flat,pr_auc_macro,0.23061594155683846,0.23524274105555526,0.004626799498716805,-0.006075511734247336,0.015178957349754288,1000
svm__cascade,svm__flat,f1_macro,0.29286513054766594,0.2909564520182072,-0.0019086785294587516,-0.01984209199543467,0.014951719342498147,1000
svm__cascade,svm__flat,any_damage_recall,0.4543707973102786,0.3611911623439001,-0.09317963496637849,-0.11753385138829175,-0.06980705492608956,1000
svm__cascade,svm__flat,false_negative_rate,0.5456292026897214,0.6388088376560999,0.09317963496637849,0.06980705492608955,0.11753385138829171,1000
svm__shared_hierarchy,svm__flat,pr_auc_macro,0.23061594155683846,0.228666436175176,-0.001949505381662442,-0.011043072582499376,0.008983718644727304,1000
svm__shared_hierarchy,svm__flat,f1_macro,0.29286513054766594,0.2882603677993266,-0.004604762748339319,-0.018635068415585942,0.00926063522151708,1000
svm__shared_hierarchy,svm__flat,any_damage_recall,0.4543707973102786,0.3900096061479347,-0.0643611911623439,-0.08125816338221814,-0.04508580026024723,1000
svm__shared_hierarchy,svm__flat,false_negative_rate,0.5456292026897214,0.6099903938520653,0.06436119116234396,0.045085800260247166,0.08125816338221807,1000
logistic__cascade,logistic__flat,pr_auc_macro,0.2281619704627226,0.23032051868244152,0.00215854821971892,-0.009243372412854988,0.010929092537868028,1000
logistic__cascade,logistic__flat,f1_macro,0.29142649276186744,0.26900670324091913,-0.022419789520948308,-0.039392809098746207,-0.007145642467303917,1000
logistic__cascade,logistic__flat,any_damage_recall,0.41786743515850144,0.3631123919308357,-0.05475504322766572,-0.07864507457940396,-0.03083164798560002,1000
logistic__cascade,logistic__flat,false_negative_rate,0.5821325648414986,0.6368876080691642,0.05475504322766567,0.03083164798559995,0.07864507457940396,1000
logistic__shared_hierarchy,logistic__flat,pr_auc_macro,0.2281619704627226,0.22249530351605512,-0.005666666946667481,-0.01674262783951793,0.005769196020208097,1000
logistic__shared_hierarchy,logistic__flat,f1_macro,0.29142649276186744,0.2691435926170266,-0.022282900144840856,-0.03691663363652429,-0.007706995148142168,1000
logistic__shared_hierarchy,logistic__flat,any_damage_recall,0.41786743515850144,0.36503362151777136,-0.05283381364073009,-0.07275770616621709,-0.03306153438847521,1000
logistic__shared_hierarchy,logistic__flat,false_negative_rate,0.5821325648414986,0.6349663784822286,0.05283381364073003,0.033061534388475144,0.07275770616621707,1000
