model_key,modelo,familia,diseno,split,categoria,positivos,recall,falsos_negativos,pr_auc
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,AMENAZA_DIRECTA,111,0.2072072072072072,88,0.1304702290841386
svm__cascade,SVM lineal calibrado palabra+carácter · Cascada binaria → multietiqueta,linear_svm_word_char,cascade,test_expanded,CONTENIDO_SEXUAL,335,0.34328358208955223,220,0.39005986639036544
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_expanded,RACISMO_DISCRIMINACION,281,0.3736654804270463,176,0.27830546951673496
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.2993421052631579,213,0.19778347867751495
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_expanded,ACOSO_PERSONAL,464,0.28448275862068967,332,0.18269345994776495
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_expanded,AMENAZA_DIRECTA,96,0.5104166666666666,47,0.20953773805518194
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,validation_expanded,CONTENIDO_SEXUAL,334,0.46706586826347307,178,0.37590857317658
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_expanded,RACISMO_DISCRIMINACION,256,0.3125,176,0.22572180410994783
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.34600760456273766,172,0.22527824836007238
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_expanded,ACOSO_PERSONAL,435,0.271264367816092,317,0.18457169220802472
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_expanded,AMENAZA_DIRECTA,111,0.2072072072072072,88,0.13792123104394072
logistic__flat,Regresión logística calibrada · Plano,logistic_regression,flat,test_expanded,CONTENIDO_SEXUAL,335,0.4059701492537313,199,0.3673168765916275
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_expanded,RACISMO_DISCRIMINACION,281,0.3736654804270463,176,0.25607476798087303
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.33881578947368424,201,0.1927278265705022
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_expanded,ACOSO_PERSONAL,464,0.27155172413793105,338,0.16989880141831412
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_expanded,AMENAZA_DIRECTA,96,0.3958333333333333,58,0.20965399014892788
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,validation_expanded,CONTENIDO_SEXUAL,334,0.4041916167664671,199,0.360532203802282
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_expanded,RACISMO_DISCRIMINACION,256,0.31640625,175,0.21945084013244073
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.39923954372623577,158,0.22645628562956824
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_expanded,ACOSO_PERSONAL,435,0.23908045977011494,331,0.17048025702985498
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_expanded,AMENAZA_DIRECTA,111,0.14414414414414414,95,0.13248975043901165
logistic__shared_hierarchy,Regresión logística calibrada · Jerárquico clásico con TF-IDF compartido,logistic_regression,shared_hierarchy,test_expanded,CONTENIDO_SEXUAL,335,0.34626865671641793,219,0.3635993843493998
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_expanded,RACISMO_DISCRIMINACION,281,0.35587188612099646,181,0.2685794349932417
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_expanded,ACOSO_GENERO_IDENTIDAD,304,0.26973684210526316,222,0.20072267497183274
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_expanded,ACOSO_PERSONAL,464,0.3081896551724138,321,0.18801754255799208
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_expanded,AMENAZA_DIRECTA,96,0.34375,63,0.23481401817083372
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,validation_expanded,CONTENIDO_SEXUAL,334,0.41317365269461076,196,0.36448872205348065
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_expanded,RACISMO_DISCRIMINACION,256,0.29296875,181,0.22944020210255772
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_expanded,ACOSO_GENERO_IDENTIDAD,263,0.2585551330798479,195,0.22473903235264622
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_expanded,ACOSO_PERSONAL,435,0.28045977011494255,313,0.18722555146518768
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_expanded,AMENAZA_DIRECTA,111,0.13513513513513514,96,0.15029713465459843
logistic__cascade,Regresión logística calibrada · Cascada binaria → multietiqueta,logistic_regression,cascade,test_expanded,CONTENIDO_SEXUAL,335,0.3373134328358209,222,0.35990067283721755
